,IRUC,L,K,T,VP,year
0,00000011468,0.0,251869.0,676354.0,6035519.0,2016
1,00000109744,207.0,140916.0,1662367.0,44379203.0,2016
2,00000110828,0.0,169302.0,11222430.0,183841545.0,2016
3,00000026893,0.0,138898.0,-603421.86,41445337.0,2016
4,00000032905,0.0,332699.0,-10441.0,63443119.0,2016
5,00000033329,0.0,0.0,559934.0,7767895.0,2016
6,00000047743,0.0,221293.0,4523.0,151805448.0,2016
7,00000010149,0.0,0.0,900442.0,5883828.0,2016
8,00000017977,403.0,955126.0,11361845.0,291176792.0,2016
9,00000010037,250.0,240291.0,38879365.0,637410953.0,2016
10,00000011636,125.0,468610.0,1166989.0,63801517.0,2016
11,00000010951,29.0,0.0,879212.0,14667621.0,2016
12,00000113066,0.0,143023.0,-58611.0,18432976.0,2016
13,00000030032,0.0,0.0,-11452544.0,221864063.0,2016
14,00000028728,54.0,0.0,29961678.0,134724507.0,2016
15,00000011327,485.0,0.0,3507599.0,71073901.0,2016
16,00000014021,39.0,72284.0,575853.0,19274393.0,2016
17,00000010321,0.0,5252567.0,9229904.0,200186713.0,2016
18,00000012360,0.0,0.0,922167.0,37464466.0,2016
19,00000009998,53.0,3614000.0,21820776.0,154378004.0,2016
20,00000010019,242.0,1952173.0,6694062.0,100363183.0,2016
21,00000121195,0.0,1148181.0,919409.0,21238743.0,2016
22,00000121880,0.0,0.0,1119462.0,18672590.0,2016
23,00000010265,56.0,536637.0,1641081.0,28592414.0,2016
24,00000110829,0.0,696983.0,4857052.0,137257161.0,2016
25,00000015669,0.0,0.0,698345.0,11062824.0,2016
26,00000002640,0.0,0.0,-91967.0,5864478.0,2016
27,00000009832,0.0,0.0,-1352808.0,66900316.0,2016
28,00000009834,0.0,556810.0,-621126.0,33849212.0,2016
29,00000009838,163.0,0.0,23532896.0,504634788.0,2016
30,00000009839,233.0,1638307.0,-51642450.0,339654417.0,2016
31,00000009842,65.0,0.0,6185882.0,157051780.0,2016
32,00000009847,34.0,211788.0,-920221.0,43537565.0,2016
33,00000009850,0.0,0.0,3255628.0,79372354.0,2016
34,00000009851,0.0,0.0,217180.0,63068221.0,2016
35,00000009857,0.0,27653.0,2239654.0,42627977.0,2016
36,00000009861,0.0,309022.0,2146522.0,30689673.0,2016
37,00000009869,166.0,0.0,-13669132.0,347536877.0,2016
38,00000009870,2.0,166879.0,2295013.0,17668314.0,2016
39,00000009873,0.0,2460440.0,30911034.0,484284469.0,2016
40,00000009875,0.0,118462.0,1048765.0,24160363.0,2016
41,00000009876,182.0,88730.0,-34410368.0,258315421.0,2016
42,00000009887,0.0,3743138.0,34764386.0,422335021.0,2016
43,00000009889,0.0,0.0,-242550.0,8223567.0,2016
44,00000009890,168.0,91939.0,3134628.0,120606061.0,2016
45,00000009891,6.0,0.0,925829.0,37598907.0,2016
46,00000009892,391.0,1891737.0,6031702.0,160189999.0,2016
47,00000009901,0.0,0.0,23423066.0,330375531.0,2016
48,00000009917,285.0,187131.0,270636.0,50229839.0,2016
49,00000009919,42.0,0.0,2505965.0,49224777.0,2016
50,00000009931,0.0,0.0,-9364.0,17473455.0,2016
51,00000009939,0.0,0.0,1266183.0,23531621.0,2016
52,00000009940,182.0,0.0,4111741.0,132423032.0,2016
53,00000116426,4.0,0.0,1165531.0,14660441.0,2016
54,00000117231,0.0,0.0,-3222680.0,23467431.0,2016
55,00000117361,24.0,243730.0,593079.0,10379416.0,2016
56,00000117495,0.0,0.0,-46400.0,11620190.0,2016
57,00000118113,0.0,0.0,37920.0,11697053.0,2016
58,00000044876,0.0,238607.0,995039.0,19940945.0,2016
59,00000009951,0.0,0.0,-32318.0,12488992.0,2016
60,00000009959,360.0,0.0,11160428.0,274444102.0,2016
61,00000009960,1036.0,896422.0,-15409125.0,213648188.0,2016
62,00000009964,0.0,0.0,7218563.0,359447459.0,2016
63,00000009975,0.0,0.0,4879659.0,184879846.0,2016
64,00000009977,176.0,0.0,7648645.0,215792320.0,2016
65,00000009980,71.0,428099.0,1628764.0,36648904.0,2016
66,00000009982,0.0,0.0,140285.0,6791462.0,2016
67,00000009991,48.0,432176.0,4156027.0,72651871.0,2016
68,00000009994,118.0,685575.0,7737518.0,127342282.0,2016
69,00000009996,0.0,0.0,2897020.0,53829999.0,2016
70,00000010005,49.0,0.0,717685.0,86325606.0,2016
71,00000010006,0.0,515629.0,289587.0,43128186.0,2016
72,00000010010,1227.0,0.0,-14039292.0,242251326.0,2016
73,00000010011,174.0,0.0,7094027.0,31058570.0,2016
74,00000010013,184.0,0.0,-1250167.0,23415219.0,2016
75,00000010016,0.0,0.0,351626.0,15638213.0,2016
76,00000010020,0.0,90374.0,1760165.0,32829563.0,2016
77,00000010021,0.0,273561.0,1341678.0,14900721.0,2016
78,00000010024,40.0,0.0,3932485.0,85985781.0,2016
79,00000010026,106.0,394229.0,1988692.0,89938931.0,2016
80,00000010027,35.0,0.0,1634895.0,40277494.0,2016
